Fichier analysé : netmob_for_awsctd.csv
Total séquences : 7700
Anomalies détectées : 342
Date: 20190422 | Tile: Facebook_DL_Tile_105978.txt | Confiance: 0.9544
Date: 20190512 | Tile: Facebook_DL_Tile_105978.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_105978.txt | Confiance: 0.9660
Date: 20190501 | Tile: Facebook_DL_Tile_106035.txt | Confiance: 0.9680
Date: 20190422 | Tile: Facebook_DL_Tile_106035.txt | Confiance: 0.9757
Date: 20190512 | Tile: Facebook_DL_Tile_106035.txt | Confiance: 0.9993
Date: 20190508 | Tile: Facebook_DL_Tile_106035.txt | Confiance: 0.9582
Date: 20190501 | Tile: Facebook_DL_Tile_106285.txt | Confiance: 0.9806
Date: 20190422 | Tile: Facebook_DL_Tile_106285.txt | Confiance: 0.9692
Date: 20190512 | Tile: Facebook_DL_Tile_106285.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_106285.txt | Confiance: 0.9867
Date: 20190501 | Tile: Facebook_DL_Tile_106316.txt | Confiance: 0.9488
Date: 20190422 | Tile: Facebook_DL_Tile_106316.txt | Confiance: 0.9575
Date: 20190512 | Tile: Facebook_DL_Tile_106316.txt | Confiance: 0.9999
Date: 20190508 | Tile: Facebook_DL_Tile_106316.txt | Confiance: 0.9462
Date: 20190422 | Tile: Facebook_DL_Tile_10650.txt | Confiance: 0.9110
Date: 20190512 | Tile: Facebook_DL_Tile_10650.txt | Confiance: 0.9996
Date: 20190508 | Tile: Facebook_DL_Tile_10650.txt | Confiance: 0.9401
Date: 20190501 | Tile: Facebook_DL_Tile_106551.txt | Confiance: 0.9664
Date: 20190422 | Tile: Facebook_DL_Tile_106551.txt | Confiance: 0.9670
Date: 20190512 | Tile: Facebook_DL_Tile_106551.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_106551.txt | Confiance: 0.9839
Date: 20190501 | Tile: Facebook_DL_Tile_106561.txt | Confiance: 0.9810
Date: 20190422 | Tile: Facebook_DL_Tile_106561.txt | Confiance: 0.9810
Date: 20190512 | Tile: Facebook_DL_Tile_106561.txt | Confiance: 0.9874
Date: 20190508 | Tile: Facebook_DL_Tile_106561.txt | Confiance: 0.9851
Date: 20190501 | Tile: Facebook_DL_Tile_106575.txt | Confiance: 0.9662
Date: 20190422 | Tile: Facebook_DL_Tile_106575.txt | Confiance: 0.9682
Date: 20190512 | Tile: Facebook_DL_Tile_106575.txt | Confiance: 0.9998
Date: 20190422 | Tile: Facebook_DL_Tile_10666.txt | Confiance: 0.9599
Date: 20190512 | Tile: Facebook_DL_Tile_10666.txt | Confiance: 0.9997
Date: 20190508 | Tile: Facebook_DL_Tile_10666.txt | Confiance: 0.9235
Date: 20190501 | Tile: Facebook_DL_Tile_106838.txt | Confiance: 0.6145
Date: 20190422 | Tile: Facebook_DL_Tile_106838.txt | Confiance: 0.9763
Date: 20190512 | Tile: Facebook_DL_Tile_106838.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_106838.txt | Confiance: 0.9696
Date: 20190422 | Tile: Facebook_DL_Tile_106844.txt | Confiance: 0.9384
Date: 20190512 | Tile: Facebook_DL_Tile_106844.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_106844.txt | Confiance: 0.9475
Date: 20190501 | Tile: Facebook_DL_Tile_106858.txt | Confiance: 0.9941
Date: 20190422 | Tile: Facebook_DL_Tile_106858.txt | Confiance: 0.7570
Date: 20190512 | Tile: Facebook_DL_Tile_106858.txt | Confiance: 0.9997
Date: 20190508 | Tile: Facebook_DL_Tile_106858.txt | Confiance: 0.9863
Date: 20190501 | Tile: Facebook_DL_Tile_106878.txt | Confiance: 0.9118
Date: 20190422 | Tile: Facebook_DL_Tile_106878.txt | Confiance: 0.9370
Date: 20190512 | Tile: Facebook_DL_Tile_106878.txt | Confiance: 0.9938
Date: 20190508 | Tile: Facebook_DL_Tile_106878.txt | Confiance: 0.9462
Date: 20190422 | Tile: Facebook_DL_Tile_106883.txt | Confiance: 0.9257
Date: 20190512 | Tile: Facebook_DL_Tile_106883.txt | Confiance: 1.0000
Date: 20190501 | Tile: Facebook_DL_Tile_106904.txt | Confiance: 0.9873
Date: 20190422 | Tile: Facebook_DL_Tile_106904.txt | Confiance: 0.9833
Date: 20190512 | Tile: Facebook_DL_Tile_106904.txt | Confiance: 0.9850
Date: 20190508 | Tile: Facebook_DL_Tile_106904.txt | Confiance: 0.9876
Date: 20190422 | Tile: Facebook_DL_Tile_10692.txt | Confiance: 0.9384
Date: 20190512 | Tile: Facebook_DL_Tile_10692.txt | Confiance: 0.9987
Date: 20190508 | Tile: Facebook_DL_Tile_10692.txt | Confiance: 0.9437
Date: 20190501 | Tile: Facebook_DL_Tile_107141.txt | Confiance: 0.9691
Date: 20190422 | Tile: Facebook_DL_Tile_107141.txt | Confiance: 0.9821
Date: 20190512 | Tile: Facebook_DL_Tile_107141.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_107141.txt | Confiance: 0.9644
Date: 20190501 | Tile: Facebook_DL_Tile_107144.txt | Confiance: 0.9853
Date: 20190422 | Tile: Facebook_DL_Tile_107144.txt | Confiance: 0.9752
Date: 20190512 | Tile: Facebook_DL_Tile_107144.txt | Confiance: 0.9997
Date: 20190508 | Tile: Facebook_DL_Tile_107144.txt | Confiance: 0.9784
Date: 20190422 | Tile: Facebook_DL_Tile_107159.txt | Confiance: 0.9356
Date: 20190512 | Tile: Facebook_DL_Tile_107159.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_107159.txt | Confiance: 0.9400
Date: 20190501 | Tile: Facebook_DL_Tile_107186.txt | Confiance: 0.9869
Date: 20190422 | Tile: Facebook_DL_Tile_107186.txt | Confiance: 0.9742
